"ANSWER","CATEGORY","CORRECTS","DIFFICULTY","ID","NEGS","RATING","SCORE","SIZE"
"emily dickinson","15","0","1","62","0","195.0","20.0","1"
"moby-dick","15","0","1","63","0","195.0","20.0","1"
"ode","15","0","1","64","0","195.0","20.0","1"
"arthur asher miller","15","0","1","65","0","195.0","20.0","1"
"metaphor","15","0","1","66","0","195.0","20.0","1"
"the hunchback of notre dame","15","0","1","67","0","195.0","20.0","1"
"sonnet","15","0","1","68","0","195.0","20.0","1"
"macbeth","15","0","1","69","0","195.0","20.0","1"
"the diary of a young girl","15","0","1","70","0","195.0","20.0","1"
"the princess bride","16","0","1","71","0","195.0","20.0","1"
"atlanta","16","0","1","72","0","195.0","20.0","1"
"8","16","0","1","73","0","195.0","20.0","1"
"new york giants","16","0","1","74","0","195.0","20.0","1"
"lebron raymone james","16","0","1","75","0","195.0","20.0","1"
"hermione granger","16","0","1","76","0","195.0","20.0","1"
"portal","16","0","1","77","0","195.0","20.0","1"
"kansas city","16","0","1","78","0","195.0","20.0","1"
"hans christian andersen","16","0","1","79","0","195.0","20.0","1"
"birds","16","0","1","80","0","195.0","20.0","1"
"oregon","16","0","1","81","0","195.0","20.0","1"
"derek jeter","16","0","1","82","0","195.0","20.0","1"
"knights","16","0","1","83","0","195.0","20.0","1"
"toronto","16","0","1","84","0","195.0","20.0","1"
"black holes","17","0","1","85","0","180.0","50.0","4"
"orion","17","0","1","86","0","185.0","40.0","3"
"electrons","17","0","1","87","0","185.0","40.0","3"
"friction","17","0","1","88","0","185.0","40.0","3"
"carbon","17","0","1","89","0","185.0","40.0","3"
"glaciers","17","0","1","90","0","185.0","40.0","3"
"tectonic plates","17","0","1","91","0","185.0","40.0","3"
"prime numbers","17","0","1","92","0","190.0","30.0","2"
"photosynthesis","17","0","1","93","0","190.0","30.0","2"
"matrix","17","0","1","94","0","190.0","30.0","2"
"venus","17","0","1","95","0","190.0","30.0","2"
"gravity","17","0","1","96","0","190.0","30.0","2"
"meiosis","17","0","1","97","0","190.0","30.0","2"
"proton","17","0","1","98","0","190.0","30.0","2"
"parabola","17","0","1","99","0","190.0","30.0","2"
"sine","17","0","1","100","0","190.0","30.0","2"
"parallel","17","0","1","101","0","190.0","30.0","2"
"temperature","17","0","1","102","0","190.0","30.0","2"
"gold","17","0","1","103","0","190.0","30.0","2"
"mean","17","0","1","104","0","190.0","30.0","2"
"mass","17","0","1","105","0","190.0","30.0","2"
"isaac newton","17","0","1","106","0","190.0","30.0","2"
"jupiter","17","0","1","107","0","190.0","30.0","2"
"cosine","17","0","1","108","0","190.0","30.0","2"
"chlorine","17","0","1","109","0","190.0","30.0","2"
"pi","17","0","1","110","0","190.0","30.0","2"
"cholesterol","17","0","1","111","0","190.0","30.0","2"
"endoplasmic reticulum","17","0","1","112","0","190.0","30.0","2"
"kinetic energy","17","0","1","113","0","190.0","30.0","2"
"asteroid belt","17","0","1","114","0","190.0","30.0","2"
"extinction of the dinosaurs","17","0","1","115","0","190.0","30.0","2"
"comets","17","0","1","116","0","190.0","30.0","2"
"water","17","0","1","117","0","195.0","20.0","1"
"diffusion","17","0","1","118","0","195.0","20.0","1"
"ribosomes","17","0","1","119","0","195.0","20.0","1"
"moon","17","0","1","120","0","195.0","20.0","1"
"pendulum","17","0","1","121","0","195.0","20.0","1"
"sir isaac newton","17","0","1","122","0","195.0","20.0","1"
"electronegativity","17","0","1","123","0","195.0","20.0","1"
"electron","17","0","1","124","0","195.0","20.0","1"
"fungi","17","0","1","125","0","195.0","20.0","1"
"cancer","17","0","1","126","0","195.0","20.0","1"
"nucleus","17","0","1","127","0","195.0","20.0","1"
"hydrogen","17","0","1","128","0","195.0","20.0","1"
"acids","17","0","1","129","0","195.0","20.0","1"
"liver","17","0","1","130","0","195.0","20.0","1"
"mitochondria","17","0","1","131","0","195.0","20.0","1"
"pythagorean theorem","17","0","1","132","0","195.0","20.0","1"
"calcium","17","0","1","133","0","195.0","20.0","1"
"chemical bonds","17","0","1","134","0","195.0","20.0","1"
"mantle","17","0","1","135","0","195.0","20.0","1"
"bases","17","0","1","136","0","195.0","20.0","1"
"speed of light","17","0","1","137","0","195.0","20.0","1"
"titration","17","0","1","138","0","195.0","20.0","1"
"special relativity","17","0","1","139","0","195.0","20.0","1"
"neptune","17","0","1","140","0","195.0","20.0","1"
"solutions","17","0","1","141","0","195.0","20.0","1"
"sodium","17","0","1","142","0","195.0","20.0","1"
"multiplication","17","0","1","143","0","195.0","20.0","1"
"noble gases","17","0","1","144","0","195.0","20.0","1"
"louis pasteur","17","0","1","145","0","195.0","20.0","1"
"clouds","17","0","1","146","0","195.0","20.0","1"
"prophase","17","0","1","147","0","195.0","20.0","1"
"viruses","17","0","1","148","0","195.0","20.0","1"
"johannes kepler","17","0","1","149","0","195.0","20.0","1"
"line","17","0","1","150","0","195.0","20.0","1"
"electric current","17","0","1","151","0","195.0","20.0","1"
"heart","17","0","1","152","0","195.0","20.0","1"
"supernovae","17","0","1","153","0","195.0","20.0","1"
"edgeworth-kuiper belt","17","0","1","154","0","195.0","20.0","1"
"amino acids","17","0","1","155","0","195.0","20.0","1"
"dna","17","0","1","156","0","195.0","20.0","1"
"iodine","17","0","1","157","0","195.0","20.0","1"
"sunspots","17","0","1","158","0","195.0","20.0","1"
"ice","17","0","1","159","0","195.0","20.0","1"
"drosophila melanogaster","17","0","1","160","0","195.0","20.0","1"
"frequency","17","0","1","161","0","195.0","20.0","1"
"x-rays","17","0","1","162","0","195.0","20.0","1"
"quartz","17","0","1","163","0","195.0","20.0","1"
"zero","17","0","1","164","0","195.0","20.0","1"
"rotation","17","0","1","165","0","195.0","20.0","1"
"resistors","17","0","1","166","0","195.0","20.0","1"
"republic of the philippines","18","0","1","167","0","185.0","40.0","3"
"battle of gettysburg","18","0","1","168","0","185.0","40.0","3"
"russian empire","18","0","1","169","0","185.0","40.0","3"
"oklahoma","18","0","1","170","0","185.0","40.0","3"
"mao zedong","18","0","1","171","0","190.0","30.0","2"
"portugal","18","0","1","172","0","190.0","30.0","2"
"italy","18","0","1","173","0","190.0","30.0","2"
"mexico","18","0","1","174","0","190.0","30.0","2"
"ku klux klan","18","0","1","175","0","190.0","30.0","2"
"joseph stalin","18","0","1","176","0","190.0","30.0","2"
"panama canal","18","0","1","177","0","190.0","30.0","2"
"israel","18","0","1","178","0","190.0","30.0","2"
"ulysses s. grant","18","0","1","179","0","190.0","30.0","2"
"punic wars","18","0","1","180","0","190.0","30.0","2"
"eleanor roosevelt","18","0","1","181","0","190.0","30.0","2"
"united states supreme court","18","0","1","182","0","190.0","30.0","2"
"pericles","18","0","1","183","0","195.0","20.0","1"
"commonwealth of australia","18","0","1","184","0","195.0","20.0","1"
"mali empire","18","0","1","185","0","195.0","20.0","1"
"napoleon bonaparte","18","0","1","186","0","195.0","20.0","1"
"republican party","18","0","1","187","0","195.0","20.0","1"
"war of 1812","18","0","1","188","0","195.0","20.0","1"
"gaius julius caesar","18","0","1","189","0","195.0","20.0","1"
"george washington","18","0","1","190","0","195.0","20.0","1"
"nicolaus copernicus","18","0","1","191","0","195.0","20.0","1"
"japan","18","0","1","192","0","195.0","20.0","1"
"abraham lincoln","18","0","1","193","0","195.0","20.0","1"
"people's republic of china","18","0","1","194","0","195.0","20.0","1"
"iraq","18","0","1","195","0","195.0","20.0","1"
"antarctica","18","0","1","196","0","195.0","20.0","1"
"battle of shiloh","18","0","1","197","0","195.0","20.0","1"
"archimedes of syracuse","18","0","1","198","0","195.0","20.0","1"
"athens","18","0","1","199","0","195.0","20.0","1"
"republic of india","18","0","1","200","0","195.0","20.0","1"
"andrew jackson","18","0","1","201","0","195.0","20.0","1"
"central intelligence agency","18","0","1","202","0","195.0","20.0","1"
"john adams","18","0","1","203","0","195.0","20.0","1"
"treaty of versailles","18","0","1","204","0","195.0","20.0","1"
"thomas jefferson","18","0","1","205","0","195.0","20.0","1"
"constantinople","18","0","1","206","0","195.0","20.0","1"
"new jersey","18","0","1","207","0","195.0","20.0","1"
"sparta","18","0","1","208","0","195.0","20.0","1"
"attila the hun","18","0","1","209","0","195.0","20.0","1"
"finland","18","0","1","210","0","195.0","20.0","1"
"ming dynasty","18","0","1","211","0","195.0","20.0","1"
"boston massacre","18","0","1","212","0","195.0","20.0","1"
"douglas macarthur","18","0","1","213","0","195.0","20.0","1"
"huns","18","0","1","214","0","195.0","20.0","1"
"cuba","18","0","1","215","0","195.0","20.0","1"
"henry viii","18","0","1","216","0","195.0","20.0","1"
"prague","18","0","1","217","0","195.0","20.0","1"
"republic of poland","18","0","1","218","0","195.0","20.0","1"
"republic of kenya","18","0","1","219","0","195.0","20.0","1"
"william jennings bryan","18","0","1","220","0","195.0","20.0","1"
"barack hussein obama ii","18","0","1","221","0","195.0","20.0","1"
"inca empire","18","0","1","222","0","195.0","20.0","1"
"berlin wall","18","0","1","223","0","195.0","20.0","1"
"john sidney mccain iii","18","0","1","224","0","195.0","20.0","1"
"genghis khan","18","0","1","225","0","195.0","20.0","1"
"hundred years' war","18","0","1","226","0","195.0","20.0","1"
"louis","18","0","1","227","0","195.0","20.0","1"
"kingdom of belgium","18","0","1","228","0","195.0","20.0","1"
"constantine i","18","0","1","229","0","195.0","20.0","1"
"hannibal barca","18","0","1","230","0","195.0","20.0","1"
"new york city","18","0","1","231","0","195.0","20.0","1"
"catherine the great","18","0","1","232","0","195.0","20.0","1"
"battle","18","0","1","233","0","195.0","20.0","1"
"pyramids","18","0","1","234","0","195.0","20.0","1"
"mayans","18","0","1","235","0","195.0","20.0","1"
"peter i","18","0","1","236","0","195.0","20.0","1"
"theodore roosevelt","18","0","1","237","0","195.0","20.0","1"
"ramses ii","18","0","1","238","0","195.0","20.0","1"
"republica argentina","18","0","1","239","0","195.0","20.0","1"
"federal democratic republic of ethiopia","18","0","1","240","0","195.0","20.0","1"
"france","18","0","1","241","0","195.0","20.0","1"
"ronald","18","0","1","242","0","195.0","20.0","1"
"chicago, illinois","18","0","1","243","0","195.0","20.0","1"
"battle of marathon","18","0","1","244","0","195.0","20.0","1"
"yugoslavia","18","0","1","245","0","195.0","20.0","1"
"richard nixon","18","0","1","246","0","195.0","20.0","1"
"ottoman empire","18","0","1","247","0","195.0","20.0","1"
"hinduism","19","0","1","248","0","190.0","30.0","2"
"qur'an","19","0","1","249","0","190.0","30.0","2"
"yom kippur","19","0","1","250","0","190.0","30.0","2"
"sins","19","0","1","251","0","190.0","30.0","2"
"baptism","19","0","1","252","0","195.0","20.0","1"
"water","19","0","1","253","0","195.0","20.0","1"
"book of revelation","19","0","1","254","0","195.0","20.0","1"
"daniel","19","0","1","255","0","195.0","20.0","1"
"jesus christ","19","0","1","256","0","195.0","20.0","1"
"abraham","19","0","1","257","0","195.0","20.0","1"
"china","19","0","1","258","0","195.0","20.0","1"
"moses","19","0","1","259","0","195.0","20.0","1"
"angels","19","0","1","260","0","195.0","20.0","1"
"confucianism","19","0","1","261","0","195.0","20.0","1"
"sikhism","19","0","1","262","0","195.0","20.0","1"
"john the baptist","19","0","1","263","0","195.0","20.0","1"
"adam","19","0","1","264","0","195.0","20.0","1"
"federative republic of brazil","20","0","1","265","0","190.0","30.0","2"
"antarctica","20","0","1","266","0","190.0","30.0","2"
"new zealand","20","0","1","267","0","190.0","30.0","2"
"baltic sea","20","0","1","268","0","190.0","30.0","2"
"mississippi river","20","0","1","269","0","190.0","30.0","2"
"alaska","20","0","1","270","0","190.0","30.0","2"
"nile river","20","0","1","271","0","190.0","30.0","2"
"madagascar","20","0","1","272","0","195.0","20.0","1"
"republic of south africa","20","0","1","273","0","195.0","20.0","1"
"jerusalem","20","0","1","274","0","195.0","20.0","1"
"wisconsin","20","0","1","275","0","195.0","20.0","1"
"philadelphia, pennsylvania","20","0","1","276","0","195.0","20.0","1"
"hispaniola","20","0","1","277","0","195.0","20.0","1"
"hong kong","20","0","1","278","0","195.0","20.0","1"
"seattle","20","0","1","279","0","195.0","20.0","1"
"republic of india","20","0","1","280","0","195.0","20.0","1"
"mexico","20","0","1","281","0","195.0","20.0","1"
"new york","20","0","1","282","0","195.0","20.0","1"
"new jersey","20","0","1","283","0","195.0","20.0","1"
"utah","20","0","1","284","0","195.0","20.0","1"
"yosemite national park","20","0","1","285","0","195.0","20.0","1"
"andes mountains","20","0","1","286","0","195.0","20.0","1"
"switzerland","20","0","1","287","0","195.0","20.0","1"
"london","20","0","1","288","0","195.0","20.0","1"
"panama canal","20","0","1","289","0","195.0","20.0","1"
"amazon river","20","0","1","290","0","195.0","20.0","1"
"chicago","20","0","1","291","0","195.0","20.0","1"
"ohio","20","0","1","292","0","195.0","20.0","1"
"dubai","20","0","1","293","0","195.0","20.0","1"
"ethiopia","20","0","1","294","0","195.0","20.0","1"
"isthmus","20","0","1","295","0","195.0","20.0","1"
"american gothic","21","0","1","296","0","180.0","50.0","4"
"wolfgang amadeus mozart","21","0","1","297","0","185.0","40.0","3"
"nighthawks","21","0","1","298","0","185.0","40.0","3"
"georgia","21","0","1","299","0","190.0","30.0","2"
"madame butterfly","21","0","1","300","0","190.0","30.0","2"
"david","21","0","1","301","0","190.0","30.0","2"
"edvard munch","21","0","1","302","0","190.0","30.0","2"
"michelangelo di lodovico buonarroti simoni","21","0","1","303","0","190.0","30.0","2"
"clarinet","21","0","1","304","0","190.0","30.0","2"
"johann sebastian bach","21","0","1","305","0","190.0","30.0","2"
"the last supper","21","0","1","306","0","190.0","30.0","2"
"flute","21","0","1","307","0","190.0","30.0","2"
"richard wagner","21","0","1","308","0","190.0","30.0","2"
"united states of america","21","0","1","309","0","190.0","30.0","2"
"george gershwin","21","0","1","310","0","190.0","30.0","2"
"peter ilyich tchaikovsky","21","0","1","311","0","190.0","30.0","2"
"violin","21","0","1","312","0","190.0","30.0","2"
"the birth of venus","21","0","1","313","0","190.0","30.0","2"
"guernica","21","0","1","314","0","195.0","20.0","1"
"pyotr ilyich tchaikovsky","21","0","1","315","0","195.0","20.0","1"
"spain","21","0","1","316","0","195.0","20.0","1"
"d major","21","0","1","317","0","195.0","20.0","1"
"george washington","21","0","1","318","0","195.0","20.0","1"
"marcel duchamp","21","0","1","319","0","195.0","20.0","1"
"saxophone","21","0","1","320","0","195.0","20.0","1"
"andy warhol","21","0","1","321","0","195.0","20.0","1"
"frank lloyd wright","21","0","1","322","0","195.0","20.0","1"
"the nutcracker","21","0","1","323","0","195.0","20.0","1"
"piano","21","0","1","324","0","195.0","20.0","1"
"czech republic","21","0","1","325","0","195.0","20.0","1"
"sandro botticelli","21","0","1","326","0","195.0","20.0","1"
"interest rate","22","0","1","327","0","195.0","20.0","1"
"sigmund freud","22","0","1","328","0","195.0","20.0","1"
"personality","22","0","1","329","0","195.0","20.0","1"
"unemployment","22","0","1","330","0","195.0","20.0","1"
"adam smith","22","0","1","331","0","195.0","20.0","1"
"rene descartes","25","0","1","332","0","195.0","20.0","1"
"socrates","25","0","1","333","0","195.0","20.0","1"
"niccolo machiavelli","25","0","1","334","0","195.0","20.0","1"
"plato","25","0","1","335","0","195.0","20.0","1"
"syrian arab republic","26","0","1","336","0","190.0","30.0","2"
"bolivarian republic of venezuela","26","0","1","337","0","190.0","30.0","2"
"hugo chavez","26","0","1","338","0","195.0","20.0","1"
"egypt","26","0","1","339","0","195.0","20.0","1"
"people's republic of china","26","0","1","340","0","195.0","20.0","1"
"ukraine","26","0","1","341","0","195.0","20.0","1"
"california","26","0","1","342","0","195.0","20.0","1"
"hungary","26","0","1","343","0","195.0","20.0","1"
"puerto rico","26","0","1","344","0","195.0","20.0","1"
"florida","26","0","1","345","0","195.0","20.0","1"
"mississippi","26","0","1","346","0","195.0","20.0","1"
"loki","14","0","2","347","0","380.0","100.0","4"
"thor","14","0","2","348","0","385.0","80.0","3"
"horus","14","0","2","349","0","385.0","80.0","3"
"achilles","14","0","2","350","0","385.0","80.0","3"
"odin","14","0","2","351","0","385.0","80.0","3"
"poseidon","14","0","2","352","0","385.0","80.0","3"
"phoebus apollo","14","0","2","353","0","385.0","80.0","3"
"osiris","14","0","2","354","0","390.0","60.0","2"
"hermes","14","0","2","355","0","390.0","60.0","2"
"athena","14","0","2","356","0","390.0","60.0","2"
"heracles","14","0","2","357","0","390.0","60.0","2"
"ra","14","0","2","358","0","390.0","60.0","2"
"quetzalcoatl","14","0","2","359","0","390.0","60.0","2"
"isis","14","0","2","360","0","390.0","60.0","2"
"theseus","14","0","2","361","0","390.0","60.0","2"
"shiva","14","0","2","362","0","390.0","60.0","2"
"hades","14","0","2","363","0","390.0","60.0","2"
"dionysus","14","0","2","364","0","390.0","60.0","2"
"shintoism","14","0","2","365","0","390.0","60.0","2"
"aphrodite","14","0","2","366","0","390.0","60.0","2"
"valhalla","14","0","2","367","0","390.0","60.0","2"
"king arthur pendragon","14","0","2","368","0","390.0","60.0","2"
"trees","14","0","2","369","0","395.0","40.0","1"
"winds","14","0","2","370","0","395.0","40.0","1"
"king arthur","14","0","2","371","0","395.0","40.0","1"
"aeneas","14","0","2","372","0","395.0","40.0","1"
"hera","14","0","2","373","0","395.0","40.0","1"
"prometheus","14","0","2","374","0","395.0","40.0","1"
"apollo","14","0","2","375","0","395.0","40.0","1"
"ares","14","0","2","376","0","395.0","40.0","1"
"dogs","14","0","2","377","0","395.0","40.0","1"
"china","14","0","2","378","0","395.0","40.0","1"
"mayan mythology","14","0","2","379","0","395.0","40.0","1"
"albert camus","15","0","2","380","0","375.0","120.0","5"
"to kill a mockingbird","15","0","2","381","0","375.0","120.0","5"
"edgar allan poe","15","0","2","382","0","380.0","100.0","4"
"the great gatsby","15","0","2","383","0","380.0","100.0","4"
"catch-22","15","0","2","384","0","380.0","100.0","4"
"nathaniel hawthorne","15","0","2","385","0","380.0","100.0","4"
"the canterbury tales","15","0","2","386","0","380.0","100.0","4"
"washington irving","15","0","2","387","0","380.0","100.0","4"
"emily dickinson","15","0","2","388","0","380.0","100.0","4"
"beowulf","15","0","2","389","0","380.0","100.0","4"
"robert frost","15","0","2","390","0","380.0","100.0","4"
"henrik ibsen","15","0","2","391","0","380.0","100.0","4"
"pride and prejudice","15","0","2","392","0","380.0","100.0","4"
"daniel defoe","15","0","2","393","0","380.0","100.0","4"
"brave new world","15","0","2","394","0","380.0","100.0","4"
"uncle tom's cabin","15","0","2","395","0","385.0","80.0","3"
"joseph conrad","15","0","2","396","0","385.0","80.0","3"
"george orwell","15","0","2","397","0","385.0","80.0","3"
"aristophanes","15","0","2","398","0","385.0","80.0","3"
"arthur miller","15","0","2","399","0","385.0","80.0","3"
"romeo and juliet","15","0","2","400","0","385.0","80.0","3"
"cry, the beloved country","15","0","2","401","0","385.0","80.0","3"
"the metamorphosis","15","0","2","402","0","385.0","80.0","3"
"james joyce","15","0","2","403","0","385.0","80.0","3"
"herman melville","15","0","2","404","0","385.0","80.0","3"
"a","15","0","2","405","0","390.0","60.0","2"
"emily elizabeth dickinson","15","0","2","406","0","390.0","60.0","2"
"william butler yeats","15","0","2","407","0","390.0","60.0","2"
"republic of south africa","15","0","2","408","0","390.0","60.0","2"
"the grapes of wrath","15","0","2","409","0","390.0","60.0","2"
"lord of the flies","15","0","2","410","0","390.0","60.0","2"
"sinclair lewis","15","0","2","411","0","390.0","60.0","2"
"anna karenina","15","0","2","412","0","390.0","60.0","2"
"madame bovary","15","0","2","413","0","390.0","60.0","2"
"the jungle","15","0","2","414","0","390.0","60.0","2"
"stephen crane","15","0","2","415","0","390.0","60.0","2"
"john steinbeck","15","0","2","416","0","390.0","60.0","2"
"james fenimore cooper","15","0","2","417","0","390.0","60.0","2"
"japan","15","0","2","418","0","390.0","60.0","2"
"people's republic of china","15","0","2","419","0","390.0","60.0","2"
"les miserables","15","0","2","420","0","390.0","60.0","2"
"lolita","15","0","2","421","0","390.0","60.0","2"
"oscar fingal o'flahertie wills wilde","15","0","2","422","0","390.0","60.0","2"
"jonathan swift","15","0","2","423","0","390.0","60.0","2"
"the divine comedy","15","0","2","424","0","390.0","60.0","2"
"o. henry","15","0","2","425","0","390.0","60.0","2"
"the three musketeers","15","0","2","426","0","390.0","60.0","2"
"the awakening","15","0","2","427","0","390.0","60.0","2"
"thomas mann","15","0","2","428","0","390.0","60.0","2"
"the old man and the sea","15","0","2","429","0","390.0","60.0","2"
"hermann hesse","15","0","2","430","0","390.0","60.0","2"
"johann wolfgang von goethe","15","0","2","431","0","390.0","60.0","2"
"wuthering heights","15","0","2","432","0","390.0","60.0","2"
"willa cather","15","0","2","433","0","390.0","60.0","2"
"our town","15","0","2","434","0","390.0","60.0","2"
"e","15","0","2","435","0","390.0","60.0","2"
"chinua achebe","15","0","2","436","0","390.0","60.0","2"
"the count of monte cristo","15","0","2","437","0","390.0","60.0","2"
"a raisin in the sun","15","0","2","438","0","390.0","60.0","2"
"the catcher in the rye","15","0","2","439","0","390.0","60.0","2"
"all quiet on the western front","15","0","2","440","0","390.0","60.0","2"
"john keats","15","0","2","441","0","390.0","60.0","2"
"fyodor dostoyevsky","15","0","2","442","0","390.0","60.0","2"
"toni morrison","15","0","2","443","0","390.0","60.0","2"
"the tale of genji","15","0","2","444","0","390.0","60.0","2"
"inferno","15","0","2","445","0","390.0","60.0","2"
"gabriel garcia marquez","15","0","2","446","0","390.0","60.0","2"
"crime and punishment","15","0","2","447","0","390.0","60.0","2"
"the crucible","15","0","2","448","0","390.0","60.0","2"
"the red badge of courage","15","0","2","449","0","390.0","60.0","2"
"christopher marlowe","15","0","2","450","0","390.0","60.0","2"
"things fall apart","15","0","2","451","0","390.0","60.0","2"
"anton pavlovich chekhov","15","0","2","452","0","390.0","60.0","2"
"leo tolstoy","15","0","2","453","0","390.0","60.0","2"
"jane eyre","15","0","2","454","0","390.0","60.0","2"
"robert louis stevenson","15","0","2","455","0","390.0","60.0","2"
"gabriel jose de la concordia garcia marquez","15","0","2","456","0","390.0","60.0","2"
"great expectations","15","0","2","457","0","390.0","60.0","2"
"robert browning","15","0","2","458","0","390.0","60.0","2"
"heart of darkness","15","0","2","459","0","390.0","60.0","2"
"leaves of grass","15","0","2","460","0","390.0","60.0","2"
"j","15","0","2","461","0","390.0","60.0","2"
"edward albee","15","0","2","462","0","390.0","60.0","2"
"1984","15","0","2","463","0","390.0","60.0","2"
"jack london","15","0","2","464","0","390.0","60.0","2"
"kurt vonnegut, jr.","15","0","2","465","0","390.0","60.0","2"
"the tragedy of hamlet, prince of denmark","15","0","2","466","0","390.0","60.0","2"
"sir","15","0","2","467","0","390.0","60.0","2"
"candide","15","0","2","468","0","395.0","40.0","1"
"the tempest","15","0","2","469","0","395.0","40.0","1"
"william makepeace thackeray","15","0","2","470","0","395.0","40.0","1"
"ernest miller hemingway","15","0","2","471","0","395.0","40.0","1"
"yukio mishima","15","0","2","472","0","395.0","40.0","1"
"the","15","0","2","473","0","395.0","40.0","1"
"as i lay dying","15","0","2","474","0","395.0","40.0","1"
"william wordsworth","15","0","2","475","0","395.0","40.0","1"
"kurt vonnegut","15","0","2","476","0","395.0","40.0","1"
"commonwealth of australia","15","0","2","477","0","395.0","40.0","1"
"the decameron","15","0","2","478","0","395.0","40.0","1"
"italy","15","0","2","479","0","395.0","40.0","1"
"henry james","15","0","2","480","0","395.0","40.0","1"
"the sound and the fury","15","0","2","481","0","395.0","40.0","1"
"thomas hardy","15","0","2","482","0","395.0","40.0","1"
"no exit","15","0","2","483","0","395.0","40.0","1"
"william cullen bryant","15","0","2","484","0","395.0","40.0","1"
"john milton","15","0","2","485","0","395.0","40.0","1"
"franz kafka","15","0","2","486","0","395.0","40.0","1"
"andrew marvell","15","0","2","487","0","395.0","40.0","1"
"anton chekhov","15","0","2","488","0","395.0","40.0","1"
"harold pinter","15","0","2","489","0","395.0","40.0","1"
"abraham lincoln","15","0","2","490","0","395.0","40.0","1"
"alfred, lord tennyson","15","0","2","491","0","395.0","40.0","1"
"charles dickens","15","0","2","492","0","395.0","40.0","1"
"sophocles","15","0","2","493","0","395.0","40.0","1"
"huckleberry finn","15","0","2","494","0","395.0","40.0","1"
"republic of india","15","0","2","495","0","395.0","40.0","1"
"""the rime of the ancient mariner""","15","0","2","496","0","395.0","40.0","1"
"animal farm","15","0","2","497","0","395.0","40.0","1"
