"CATEGORY","CLUE","COUNT","DIFFICULTY"
"22","in one experiment, this man tested reactions to an eleven-year-old boy whom he was speaking through via earpiece, and in another he tested to see how many letters addressed to various organizations were delivered when left on the ground.","1","3"
"18","this host of the 1959 sanniquellie conference labeled himself the ""convivial cannibal from the downcoast hinterlands"" and became the legal adviser to allen yancy before resigning to defend his nation against allegations of slave labor before the league of nations.","1","9"
"14","this owner of the spear gungnir and husband of frigg gave his eye to mimir and hung for nine days and nights off of the world-tree yggdrasil to obtain wisdom.","1","2"
"15","for 10 points, identify this author whose stories ""the library of babel"" and ""the garden of forking paths"" are collected in ficciones, a blind author from argentina.","1","6"
"17","in information theory, it is proportional to the sum over all possible values of a random variable of the quantity p sub i times natural log of p sub i.","1","7"
"17","high exponents in the swainschaad equations indicate that this phenomenon is occurring.","1","7"
"16","though not seattle,  owl city claims ""my blood cells cannot depend on the weather inphotographs"" in a song partially named after this city in which they ask it ""are you singing"" and ""are youswinging.""","1","8"
"18","he crushed the lombards at pavia, though basques at ronceveaux pass massacred his troops under roland.","1","2"
"15","this poet wrote ""tonight i can write the saddest lines"" in a collection that ends with a poem that repeats ""in you everything sank!""","1","6"
"15","for 10 points, name this author of ""prometheus"", ""the elf-king"", and verse dramas like faust, part ii.","1","9"
"21","with nick lane, one player of this instrument arranged ""gabriel.""","1","7"
"15","this novel's narrator frightens calpurniaby sitting in a balcony with  dill to watch her father defend tom robinson against the ewells.atticus finch appears in, for 10 points, what novel about jem and scout, written by harper lee?","1","2"
"19","in this faith, the story of the blind men and the elephant is used to illustrate a concept of non-one-sidedness.","1","4"
"21","this composer combined the main theme of the allegro brillante first movement with the main theme of the last movement to form a double fugue at the end of his e-flat major piano quintet.","1","5"
"25","this author of dialogues concerning natural religion argued that we have no rational basis for thinking the sun will rise tomorrow in his critique of inductive reasoning.","1","6"
"26","tension began in this country after the deaths ofteenagers zyed benna and bouna traore.","1","7"
"20","though closest to latvia, this island is controlled by sweden.","1","9"
"15","a poem by this author mentions ""worlds of wanwood leafmeal"" and begins ""margaret, are you grieving / over goldengrove unleaving?""","1","7"
"19","it can be split into svetambara and digambara sects, the latter of which practices nudity and is known as  sky-clad.","1","3"
"21","van bergen and walter burleigh griffin.","1","4"
"19","members of this religion are the most frequent to make pilgrimages to nabi shu'ayb, where this religion maintains the tomb of jethro.","1","7"
"14","for 10 points, name this malicious norse trickster god.","1","4"
"26","this country, whose largest search engine is the home-grown yandex, has engaged with asmaller neighbor in  ""gas disputes"" over rights to natural gas pipelines leading west.","1","9"
"16","its prime minister was in the oval office for a photo op when walid jumblatt caused his march 14 alliance to lose power, meaning that najib mikati will soon replace him.","1","5"
"16","two of the characters in this show first met, albeit unwillingly, using a dating website.","2","5"
"22","he criticized the treaty of versailles in the economic consequences of the peace, and wrote about the consumption function in another work.","1","3"
"21","he turned to printmaking late in his career, producing more than 260 lithographs and etchings including the elephant skull and sheep portfolios.","1","8"
"21","another of his works uses ""camptown races"" and features narration from the gettysburg address.","1","3"
"22","in addition to a theory of the consumption function, this economist advocated economic freedom as a means for political freedom.","1","3"
"25","in another work this thinker defines an ontological and a ""watch-maker"" proof of god's existence, and attacks the title concept's circular logic.","1","3"
"20","cities on this island include olbia and its capital on a namesake gulf called the gulf of the angels and was known to the romans as caralis.","1","9"
"17","in quantum mechanics, it is a conjugate variable with position, and in classical mechanics, its change is given as the time integral of force, also known as impulse.","1","5"
"25","in the third book of a work that ""fell dead-born from the press,"" he argued that morality can not be explained by reason, and the copy principle is introduced in ""of the understanding.""","1","4"
"21","this artist also painted three women crying on the right side of a work which sees three roman soldiers reaching for their swords.","1","3"
"21","a genre of historical and biblical epics called ""peplum films"" originated here, as did the neorealist movement.","1","9"
"22","this author of a treatise on probability advocated for devaluation over deflation, and wrote that ""in the long run we are all dead"" in his tract on monetary reform.","1","4"
"17","for 10 points, name these incredibly dense stellar remnants from which nothing, not even light, can escape.","1","2"
"18","a public display of meat-eating during lent inthis country sparked the affair of the sausages.","1","5"
"25","this philosopher attacked the ""free-thinkers"" in works like alciphon and the analyst.","1","4"
"14","in another myth, she attacks another god with a cobra fashioned out of clay, causing him to reveal his secret name.","1","4"
"25","this thinker claimed that africa had no movement or development, and therefore was not a ""historical part of the world"" in his lectures on the philosophy of history.","1","3"
"21","the finale of this composer's piano trio is mostly written in 5/4 time alternating with 7/4, and the second movement of that trio is a ""pantoum.""","1","7"
"14","he tricked hodr into killing frigg's son, baldr.","1","2"
"14","for 10 points, name this man who founded athens and served as its first king.","1","3"
"17","one form of it is bounded above in fano's inequality.","1","7"
"17","this quantity has a value of around eighty-seven to eighty-eight during vaporization according to trouton's rule.","1","3"
"17","for 10 points, name this force between surfaces that opposes the motion of an object.","1","1"
"15","the speaker of a poem by this author exclaims assign yogi berra to cape canaveral; he could handle any missile.","1","8"
"16","on the morning of this event, the group that ordered it met at the star inn.","1","7"
"25","this thinker's inaugural essay distinguished between intellectual thought and sensible receptivity.","1","4"
"22","an analysis of the stroll of a literary character who exhibits this phenomenon appears alongside an analysis of various machines, including the bicycle-horn machine and the stone-sucking machine, in samuel becketts works.","1","8"
"14","as a child, this man was raised on the isleof seriphos by the fisherman dictys.","1","5"
"21","this composer wrote a work to help with a counts insomnia, which consists of 30 variations on an aria.","1","3"
"19","this religion's followers make pilgrimage to the palitana temples, and its principle of nirjara, one of its nine tattva, ends the process of samvara.","1","4"
"15","for 10 points, name this american modernist poet of poetry.","1","8"
"19","sraosha is one of the guardians of chinvat, a bridge to heaven that either narrows or widens depending on a person's behaviors.","1","3"
"25","this thinker defined labor as activity needed to sustain life, defined work as the creation of artificial things, and defined  action as activity between people, three categories that make up a type of life that western thought has subordinated to the ""vita contemplativa.""","1","7"
"18","this king's biography was written by the historian einhard, and his grandsons divided his empire in the treaty of verdun.","1","2"
"14","the shri rudram chamakam is an extensive hymn dedicated to this god, and the holiest of his temples is pashupatinath in nepal.","1","4"
"14","she used her magic to create a golden phallus for her deceased husband.","1","4"
"18","resulted in the loss of one of this country's colonies after the cry of ipiranga.","1","3"
"21","a man-made island in this country is home to a renzopiano-designed airport terminal.","1","7"
"15","this poet described a towery city and branchy between towers in a poem titled for a philosopher who he thought of in any inscape of the sky or sea.","1","7"
"17","this quantity is squared in the denominator of the grashof number, and can be measured using a zahn cup.","2","6"
"20","this city is surrounded by the tijuca forest.","1","3"
"21","in another opera by this composer of cosi fan tutte, the queen of the night plots against tamino, who wields the title instrument.","1","6"
"18","one legendary figure in this country's history was a wheelwright who founded the piast dynasty.","1","6"
"14","when this deity was syncretized with serket, she wore a crown of scorpions, but normally, this deitys headdress was a throne.","1","4"
"15","in this play, a character who delivers an ode to an old cupboard plays imaginary games of billiards.","1","4"
"25","this author of in praise of idleness is also the namesake of a statement that new foundations attempted to work-around, which is conceptually equivalent to the statement about ""the barber with a shave.""","1","6"
"25","in a work compiled by his student g.","1","4"
"17","materials with this property exhibit a lag response with changes in an applied field, a phenomenon called hysteresis.","1","3"
"25","in a different paper, this philosopher used the example of someone sinking the bismarck to illustrate the principle of causal interaction.","1","8"
"18","one war lost by this country in 1982 resulted in the sinking of the general belgrano, and one leader of this country was supported by the descamisados, or ""shirtless ones.""","1","6"
"14","one of the trimurti, ftp identify this cohort of vishnu and brahma, considered the destroyer.","1","6"
"19","a central symbol of this religion is a hand with a wheel on its palm.","1","3"
"14","a temple to this deity contained four different pots, which would alternately freeze, rot, dry out, or help the harvest.","1","7"
"15","krosotkin brings a replacement dog to the bed of snegiryov's son ilysuha, whose funeral concludes this novel.","1","7"
"14","for 10 points, name this greek god, the herald of zeus.","1","7"
"14","this husband of sigyn got chained underneath the earth with a snake dripping venom into his eyes, in part because he tricked the blind god hodr into firing mistletoe at his brother.","1","4"
"25","he proposed three ""definitive articles"", including republican government, as a basis on which to end intra-national hostilities in his perpetual peace.","1","3"
"18","for 10points, name this author of the little red book, the first leader of communist china.","1","1"
"15","the canals of amsterdam are compared to the circles of hell by clamence in one work by this author.","1","2"
"19","this leader defeated the anakims and conquered goshen, and, after battling a coalition led by jabin, he burned the city of hazor to the ground.","1","9"
"14","dana  was the mother of, for 10 points, what greek hero who killed medusa?","1","5"
"19","the primary prophet of this sect once took his revenge on the village of hittin where he is now said to be buried.","1","7"
"15","this author wrote a play in which the nurse oenone drowns herself before her former mistress can be questioned by the newly returned king of athens.","1","8"
"21","for 10 points, identify this jazz instrument played by sonny rollins, stan getz, and charlie parker, which can come in tenor and alto varieties.","1","2"
"19","the sky god of this religion used his 7,000 coils to form the stars and the planets, and he shed a snake skin to create the waters of earth.","1","3"
"19","featuring the adi granth as its central text, ftp, identify this religion, founded by guru nanak.","1","3"
"16","this hero teamed up with commissioner gordon, and he began his career after joe chill murdered both of his parents.","1","4"
"14","his heart became the morning star, while the evening star was represented by his dog-headed skeletal psychopomp brother xolotl.","1","6"
"25","this thinker used an elliptic pattern to map a sphere as a square to create his ""quincuncial map.""","1","7"
"26","this nation's government, controlled by the islamic brotherhood and headed by mohamed  morsi, came to power after the overthrow ofhosni mubarak .","1","1"
"22","for 10 points, name this psychologist who conducted a namesake ""obedience to authority"" experiment.","1","6"
"25","one of this man's characters pointed out theproblem of infinite regress in first cause theory in his attack on the cosmological argument.","2","5"
"14","this deity will be swallowed alive by the wolf fenrir during ragnark.","1","3"
"17","anaquamelt is this type of compound that can lose water and solidify in response to stress from theenvironment.","1","7"
"19","beginning on the 15th of tishrei, this holiday is immediately followed by shemini atzeret, and it entails building booths covered by s'chach.","1","7"
"22","a thinker from this university wrote the the essay collection the sociology of science.","2","8"
"21","this creator of variations and fugue on a theme by handel wrote a first symphony sometimes called ""beethoven's tenth.""","1","3"
"25","in one essay, this philosopher argued that revolution cannot reform a people's manner of thinking and only substitutes new prejudices for the old.","1","3"
"14","zeus wanted to wed this figure's mother until a prophecy foretold that this figure would becomegreater than his father.","1","2"
"14","the wind aspect of this god fell in love with the goddess of the maguey plant.","1","6"
"17","this mathematician introduced a function that, for a prime p to the power k gives ""p to the k-minus-one times the quantity p minus one.""","1","4"
"17","those laws describe the dependence of this phenomenon on  molar flux and were developed by adolf fick.","1","5"
"22","this psychologist pioneered the study of genetic epistemology, theorizing that infants develop ""object permanence"" in the sensorimotor stage before moving onto the preoperational stage.","1","3"
"15","this nation's oldest poetry collection begins with the sound of ospreys and describes a ""modest, retiring, virtuous young lady.""","1","4"
"14","the father of polyphemus and triton, for 10 points, identify this husband of amphitrite and god of the sea","1","9"
"26","for 10 points, name this southeast asian country whose state-owned oil company is the anchor tenant of the petronas towers in kuala lumpur.","1","7"
"20","as of 2002, this country is the largest user of a sodium fluoroacetate-derived pesticide called 1080.","1","7"
"21","an oil lamp hangs from an egg above the central figure, who is flanked by two gilded wooden columns in the central panel of his saint zeno altarpiece.","1","8"
"20","this island is bordered to the east by the  tyrrhenian sea, and the strait of bonifacio separates it from corsica.","1","9"
"16","dutch varieties of it include the cumin-spiced leyden, edam, and gouda.","1","7"
"15","she described how the bravest learn to see, even though they stumble, in a poem beginning ""we grow accustomed to the dark- / when light is put away.""","1","7"
"19","for 10 points, name this religion whose members include manmohan singh, which originated in the punjab.","1","3"
"17","many zones of equilibrium known as theoretical plates are needed to overcome a small difference in volatility, in this techniques  fractional type.","1","3"
"21","for 10 points, name this occasionally tonal composer of the gurrelieder and pierrot lunaire.","1","7"
"17","its affinity for a competitive inhibitor is described by the haldane effect, and delta-ala synthase catalyzes the rate-limiting step of the biosynthesis of its metal cofactor.","1","6"
"18","the war of the two brothers in this nation led to the exile of prince michael, and amnesty international was formed in response to the actions of this nation's dictator antonio salazar.","1","3"
"15","a book from this country decries the historical uses of the color red before describing a general's policy of whipping or executing people who didn't wear the correct red ribbons.","1","8"
"17","this quantity jumps from zero to non-zero when entering the boundary layer.","1","6"
"25","this philosopher wrote that what he called the ""first class of objects for the subject"" could not be represented without the ""union of time and space.""","1","7"
"25","that work claims that the will is the window to the thing-in-itself.","1","7"
"21","ira gitler referred to this man's music as ""sheets of sound.""","1","6"
"25","in another work, he argued that robert filmer defied common sense by defending the divine rights of kings in addition to justifying william iii and mary ii's role in the glorious revolution.","1","6"
"25","he was the most famous early proponent of experiential education.","1","7"
"21","another work by this man features a fortissimo ascent in b flat while the title figure reminisces about a kiss.","1","4"
"25","ezra pound amusingly used the example of a bunch of illiterate fishermen worrying about greek pronunciation to parody this man's the idea of christ in the gospels.","1","9"
"17","the configuration of subsequent r and h groups determines the tacticity of these molecules.","1","7"
"21","he used the text of the luther bible to compose a piece inspired by the death of his mother and the attempted suicide of robert schumann.","1","6"
"21","for 10 points, name this mozart opera about the queen of the night, papagena, and papageno, who is given the title instrument.","1","3"
"17","these objects can be formed when the tolman-oppenheimer-volkovv limit is exceeded, which can cause a gravitational collapse withing the schwarzchild radius.","1","1"
"14","in one appearance, this deity throws a magnificent whetstone into the air, causing nine reapers to slit each others' throats in a jealous attempt to get it.","1","6"
"25","this philosopher depicted demea, philo, and clenches conversing in his dialogues concerning natural religion and stated that all ideas are repeated from an original impression in his  copy principle.","1","3"
"25","that essay discusses the distinction between the pair ""distinct / confused"" and ""obscure"" and the title quality, which is the entity that mathematical logic confers on formalized thoughts.","1","7"
"18","this country's capital was the site of the burglary of a portuguese jewish merchant from gibraltar, named don pacifico.the london conference of 1832 moved this nation's capital from nafplio and established the bavarian prince otto as its king.","1","4"
"18","for 10 points, name this nation which was ruled by the jagiellon dynasty and got partitioned a lot.","1","6"
"21","bonaventure painted a red and yellow mercedarian badge on the stark white robes of a different deceased saint, who hangs limply by his rope-bound wrists.","1","8"
"22","for 10 points, name this french structural anthropologist, whose the raw and the cooked began his tetralogy mythologiques.","1","7"
"14","on one occasion, this god dressed up as freya and killed thrym, who had stolen his prized possession.","1","6"
"17","the coalescence of grain boundaries during industrial deposition processes contributes to the"";intrinsic""; value of this quantity in a thin film, which can be calculated by the substrate curvaturemethod using the stoney equation.","1","8"
"15","in this novel, klipspringer is a freeloader who calls the narrator about a pair of tennis shoes he may have left at the now deceased titular character's mansion.","1","2"
"15","this author drew inspiration from the utopian brook farm to write about zenobia's unrequited love for hollingsworth in a novel narrated by miles coverdale.","1","6"
"15","mercutio is killed by tybalt in act iii of this play.","1","1"
"19","the blue cliff record and the gateless gate are central works used in renzai school practice, which are collections of buddhist koans.","1","6"
"14","this god eternally holds poison in his throat, which is why his neck is blue.","1","6"
"25","this philosopher who popularized the use of truth tables wrote about a ""beetle in a box"" and a ""duck-rabbit"" in philosophical investigations.","1","4"
"20","this river is dammed by the aswan high dam, creating lake nasser, and its watershed ends at the ethiopian plateau, where one of its two ""colored"" tributaries begins.","1","3"
"18","for 10 points, name this nation that was struck by a 1755 earthquake in lisbon.","1","2"
"18","this thinker attacked thomas munzer  in the pamphlet against the murderous and thieving hordes of peasants.","1","3"
"20","the south of this island is reachedby the extremely long seikan tunnel, which runs under the tsugaru strait.","1","7"
"14","as revenge for that death, thishero killed hector.","1","1"
"19","in this religion the root of a human being is said to reside in the ""lower cinnabar field,"" in contrast with the brain, which is the seat of the soul and is called the ""muddy pellet.""","1","7"
"19","adherents of this religion must control their gwo-bon-ange and ti-bon-ange in order to please the anvizibs, zanjs, and loas.","1","3"
"18","this man began the tradition of governing his kingdom by using missi dominici.","1","6"
"21","that is ""summer morning by a lake"" from his five pieces for orchestra.","1","7"
"17","this quantity is conserved in all closed system collisions, whether elastic or inelastic.","1","5"
"21","one of this composer's pieces opens with a violin cadenza played entirely on the g-string.","1","7"
"19","the main language used in this religions scripture is sant bhasa, and gobind  singh named this religions holy scripture, the adi granth, his successor, thus ending the line of human gurus.","1","4"
"14","ftp, name this greek messenger god who carried the caduceus.","1","9"
"19","one episode from the history of this faith sees five loyal adherents offering to the call: i need one head.","1","3"
"14","most stories hold that this deity, not athena, blinded the prophet tiresias .","1","1"
"22","this economist argued that countries should avoid deflation even if it causes their currency to depreciate in a tract on monetary reform.","1","6"
"18","in 1860, this hero of the uruguayan war of independence conquered sicily and naples after military victories including the battle of volturnus and milazzo, a campaign referred to as the expedition of the thousand.","1","6"
"19","this religion was brought to china by bodhidharma, focuses on inquiry into paradoxical koans, and teaches the use of personal experience to bring about satori, or enlightenment.","1","6"
"17","for 10 points, name this element that makes up all living things.","1","1"
"25","for 10 points, name this author of an enquiry concerning human understanding, a scottishempiricist philosopher.","2","5"
"21","he used an orchestra to set free verse tristan klingsor poems in shhrazade.","1","7"
"21","he won an academy award for the heiress on his fourth nomination.","1","6"
"21","maurice andr, timofei dokshitzer, and alison balsom have played an aflat concerto for it by arutiunian.","1","7"
"15","the tension in this novel increasing when the pococks","1","7"
"19","this belief's adherents trust that the third savior saoshyant will bring about the ""final renovation.""","1","6"
"25","this philosopher claimed that compassion is the only true moral motive because it is not egoistic.","1","7"
"17","for 10 points, name this kind of magnetism found in materials like cobalt, nickel, and iron, its namesake.","1","3"
"20","name this river that goes through the grand canyon and goes through grand junction in its namesake state.","1","3"
"15","this poet wrote of how he heard the voice of the title substance ""near antofagasta"" in his ""ode to salt.","1","3"
"15","like the sea, like time"" and laments ""in you everything sank!""","1","6"
"22","for 10 points, name this anthropologist who wrote about the young women of ta'u in coming of age in samoa.","1","4"
"25","he rejected the notion of innate ideas, because he believed that all knowledge derives from experience and our minds are a tabula rasa at birth.","1","6"
"21","he used themes from the shaker hymn ""simple gifts"" for ballet choreographed by martha graham.","1","6"
"21","several jazz standards quote a piece from this country, whose second-movement adagio opens with a dolce [dohl-chay] melody played on the english horn, including the last track of the album light as a feather.","1","8"
"22","that paper was co-authored by dorothea and sheila ross.","1","7"
"22","for 10 points, name this author of coral gardens and their magic and argonauts of the western pacific who gained fame for describing the kula ring.","1","5"
"25","this thinker argued for a compassion-based ethical system in an essay which did not win the royal danish society's essay contest, despite being the only submission.","1","7"
"14","ftp, name this son of maia and zeus who was given the caduceus in recognition of his role as the messenger of the gods.","1","7"
"25","he synthesized rationalist and empiricist theories by defining a priori knowledge, which this author of the metaphysics of morals extended to the idea of sensus communis in his critique of judgment.","1","3"
"17","it consists of a network of vesicles and channels, which are sometimes covered by ribosomes.","1","5"
"21","another of his works closes with a hoe-down.","1","4"
"22","this anthropologist suggested that totemism wasmeaningless in his most famous work, for which he studied aboriginal tribes.","1","7"
"17","for 10 points, name this muscle protein that slides along myosin filaments during muscle contractions.","1","5"
"18","for10 points, what nation, once ruled by the houses of aviz and braganza, split the new world with spainthrough the treaty of tordesillas?","1","5"
"25","in a paper about a construct with  "";no causal history,""; this author proposed a thought experiment in which lightning strikes animates a collection of peat matter that subsequently looks similar to the author.","1","8"
"15","for 10 points, identify this author of ""the garden of forking paths,"" an argentine who also wrote the collections el aleph and ficciones.","1","6"
"21","in one artwork from this country, a white dog and a brown dog frolic in front of a group of travelers crossing a bridge named after this country.","1","7"
"17","copii coated vesicles budfrom this organelle, which has a membrane protein complex that recognizes the signal recognitionparticle.","1","5"
"20","representing the continuation of the arakan yoma mountains, they are separated to the south by the ten degree channel from the  nicobar islands.","1","9"
"15","this man wrote about carlos argentino daneri, who sees the entire universe through the title entity, as well as about the sinologist stephen albert, who is killed by yu tsun, allowing the germans to bomb an artillery park.","1","7"
"17","a water aspirator or mechanical pump is used to reduce the time needed for the first step of this process in the ""vacuum"" type of this process.","1","3"
"25","this author of the problems of philosophy and on denoting introduced his namesake paradox in naive set theory in a work that attempted to explain mathematics with axiomatic logic.","1","6"
"18","this author of citizen of the world wrote his memoirs with dumas.","1","6"
"14","tools used by this god, who knows eighteen magical songs, include the tusk rati.","1","9"
"25","he argued that ethical judgments were based on feelings rather than on moral principles.","1","4"
"17","for monoatomic ideal gases, this value is calculated by the sackur-tetrode equation.","1","3"
"22","name this author of a monetary history of the united states, a leading monetarist from the chicago school.","1","3"
"17","this quantity can be measured in units of boltzmanns constant, which is the proportionality factor relating it to the logarithm of the number of available microstates.","1","4"
"20","this country is home to the only living sphenodont, whose survival is threatened by the kiore rat and which has an unusually well-developed photoreceptive third eye, complete with lens and retina.","1","7"
"25","this thinker argued against philosophical dependence on the senses by pointing out the changes a piece of wax undergoes when it melts.","1","3"
"22","this author argued that moses may have been the pharoah akenhaten in the book moses andmonotheism.","1","2"
"18","his more notable biographers include einhard, and he made alcuin of york the head of his court's school in aachen, bringing about a ""renaissance"" that shared its name with his dynasty.","1","3"
"17","the halide of this element can be a substitute in the place of an aromatic amine group through a diazonium salt in the sandmeyer reaction.","1","7"
"20","this city is home to the tsing ma bridge, and more than 100,000 people live on its lantauisland.","1","2"
"16","one song by this artist claims its addressee is ""like an indian summer in the middle of winter"" and ends by declaring ""in your eyes i'd like to stay.""","1","3"
"25","his namesake ""fork"" distinguishes between relations of ideas and matters of fact.","1","6"
"21","robert schumann praised this composer in new paths, and he worked with both this composer and albert dietrich to write the f-a-e sonata for joseph joachim [wah-keem].","1","3"
"17","one process that occurs in this structure is divided into o-linked and n-linked varieties.","1","5"
"21","for 10 points, name this regionalistgrant wood work that depicts a woman and her pitchfork-holding father.","1","1"
"21","in addition to the telephus frieze, this work is home to a depiction of the fates clubbing agrios and thoas to death.","1","9"
"14","he was the one who killed locrian ajax when he shattered a rock he was residing on.","1","9"
"15","a novel translated by gilbert adair follows a group of characters who investigate the disappearance of the letter e from this language, titled a void.","1","8"
"21","a cadenza for the solo instrument links the two movements of this composer's clarinet concerto.","1","6"
"22","this man's work was critiqued by henry hazlitt in the book the failure of the new economics.","1","3"
"21","antonin dvorak orchestrated some of this composer's dances, which were composed for piano, four hands and based on tsardas.","1","6"
"22","for 10 points, name this economic situation in which one seller entirely controls the market for a good or service.","1","5"
"16","a staple race of dungeons and dragons, ftp, identify these people whose ranks in other media include elrond, legolas, and santa's helpers.","1","7"
"20","119 met at a mountain pass in this state where leland stanford drove a golden spike to mark the completion of the first transcontinental railroad.","1","6"
"22","the nairu is a measure of this for a market with neither upward nor downward pressure on inflation.","1","6"
"17","on a graph, this man's namesake path visits each edge exactly once, and the line connecting the orthocenter and circumcenter of a triangle is also named for him.","1","2"
"18","its representatives became the first to vote for independence after drafting the halifax resolves.","1","7"
"19","it claims that  circumcision does not matter, since it becomes invalid for someone who breaks the law.","1","7"
"21","commissioned by eumenes ii and finished by attalus ii, this work contains a depiction of the olympian gods fighting their enemies.","1","9"
"14","he was held to be the consort of nehamtawy in some traditions.","1","9"
"21","this composer used a plainchant found in the st.","1","3"
"15","this way at least you live.""","1","8"
"20","this seas snake island was one of the last hauling-out sites of the critically endangered mediterranean monk seals and its north coast contains the cities of  yalta and sevastopol.","1","4"
"26","guns were bought through straw purchase agreements made by buyers from this country during project gunrunner.","1","7"
"25","this philosopher alleged that man could conceive of a shade of blue he had never seen, and he also claimed that no miracle had ever been proven.","1","3"
"21","a composer from this country divided tones into quarters and up to sixteenths in his microtonal theory dubbed ""the thirteenth sound.""","1","9"
"25","this author included sections like ""of the origin of ideas"" and ""of miracles"" in a book that contradicts the ""copy principle"" by describing a man who knows all but one shade of the color blue.","1","6"
"20","its state flower is the pasqueflower, and some of its religiously-affiliated schools include mount marty college.","1","8"
"20","this state contains the moreau river, which flows into the man-made reservoir called lake oahe, which is dammed at mobridge.","1","8"
"19","for 10 points, name this religion in which ahriman is opposed by ahura mazda, a persian religion founded by zarathustra.","1","5"
"17","for 10 points, name these organic compounds that have the general formula r-o-r [r-oh-r-prime].","1","4"
"25","hedescribed ""the rule of property"" and how justice is an unnatural virtue in that work's section ""of morals.""","1","6"
"19","this religion's golden temple is located in amritsar, its holiest city, and its primary text is the adi granth.","1","4"
"15","this man's third wife, matilde urrutia, was the dedicatee of his 100 love sonnets.","1","3"
"18","this man wrote about ""murderous and thieving hordes"" in condemning the peasants' war.","1","3"
"18","it has since been ruled by nine kings named rama and endured another eighteen military coups.","1","5"
"21","for 10 points, name this highest pitched brass instrument.","1","7"
"25","this man argued that jesus knew sin and evil when he cried out ""why hast thou forsaken me"" on the cross.","1","3"
"14","for 10 points, name this aztec god of rain.","1","7"
"25","nietzsche labeled this philosopher as a ""scarecrow"" and as the ""great chinaman"" of his home city.","1","9"
"15","for 10 points, name american poet who wrote ""stopping by woods on a snowy evening"" and quoted the adage ""'good fences make good neighbors"" in his poem ""mending wall.""","1","6"
"19","all souls must cross the chinvat bridge in this faith, and the dead are laid out on dakhmas, or towers of silence, to keep earth and fire uncontaminated.","1","5"
